title,abstract,authors,categories
$\Bz\to\pip\pim\piz$ Time Dependent Dalitz analysis at BaBar,"  I present here results of a time-dependent analysis of the Dalitz structure
of neutral $B$ meson decays to
  $\pip\pim\piz$ from a dataset of 346 million $B \bar B$ pairs collected at
the $\Upsilon(4S)$ center of mass energy by the BaBar detector at the SLAC
PEP-II $e^+e^-$ accelerator. No significant CP violation effects are observed
and 68% confidence interval is derived on the weak angle $\alpha$ to be
[75$^o$,152$^o$]
",Gianluca Cavoto,hep-ex
"New Organic thermally stable materials for optoelectronics devices - A
  linear spectroscopy study","  Thermally stable polymers have attracted a lot of interest due to their
potential use as the active component in electronic, optical and optoelectronic
applications, such as light-emitting diodes, light emitting electrochemical
cells, photodiodes, photovoltaic cells, field effect transistors, optocouplers
and optically pumped lasers in solution and solid state.We report results of
investigations into the use of thermal treatment of poly(p-phenylene vinylene)
(PPV) films grown on a variety of substrates (quartz and glass). Film
thickness, morphology and structural properties were investigated by a range of
techniques in particular: atomic force microscope - AFM, DEKTAK method,
Ellipsometry and UV-VIS spectroscopy.
","O.S. Prelipceanu, M. Prelipceanu, O.G. Tudose, B. Grimm, S. Schrader",cond-mat.other cond-mat.mtrl-sci
"Elativistic treatment in}$D$ - Dimensions to a spin-zero particle with
  noncentral equal scalar and vector ring-shaped Kratzer potential","  The Klein-Gordon equation in D-dimensions for a recently proposed Kratzer
potential plus ring-shaped potential is solved analytically by means of the
conventional Nikiforov-Uvarov method. The exact energy bound-states and the
corresponding wave functions of the Klein-Gordon are obtained in the presence
of the noncentral equal scalar and vector potentials. The results obtained in
this work are more general and can be reduced to the standard forms in
three-dimensions given by other works.
",Sameer M. Ikhdair and Ramazan Sever,quant-ph
"On the potential of transit surveys in star clusters: Impact of
  correlated noise and radial velocity follow-up","  We present an extension of the formalism recently proposed by Pepper & Gaudi
to evaluate the yield of transit surveys in homogeneous stellar systems,
incorporating the impact of correlated noise on transit time-scales on the
detectability of transits, and simultaneously incorporating the magnitude
limits imposed by the need for radial velocity follow-up of transit candidates.
New expressions are derived for the different contributions to the noise budget
on transit time-scales and the least-squares detection statistic for box-shaped
transits, and their behaviour as a function of stellar mass is re-examined.
Correlated noise that is constant with apparent stellar magnitude implies a
steep decrease in detection probability at the high mass end which, when
considered jointly with the radial velocity requirements, can severely limit
the potential of otherwise promising surveys in star clusters. However, we find
that small-aperture, wide field surveys may detect hot Neptunes whose radial
velocity signal can be measured with present-day instrumentation in very nearby
(<100 pc) clusters.
","Suzanne Aigrain (IoA Cambridge, University of Exeter) and Frederic
  Pont (Geneva Observatory)",astro-ph
A non-perturbative proof of Bertrand's theorem,"  We discuss an alternative non-perturbative proof of Bertrand's theorem that
leads in a concise way directly to the two allowed fields: the newtonian and
the isotropic harmonic oscillator central fields.
","F C Santos, V Soares and A C Tort",physics.class-ph
"Neutron-Capture Elements in the Double-Enhanced Star HE 1305-0007: a New
  s- and r-Process Paradigm","  The star HE 1305-0007 is a metal-poor double-enhanced star with metallicity
[Fe/H] $=-2.0$, which is just at the upper limit of the metallicity for the
observed double-enhanced stars. Using a parametric model, we find that almost
all s-elements were made in a single neutron exposure. This star should be a
member of a post-common-envelope binary. After the s-process material has
experienced only one neutron exposure in the nucleosynthesis region and is
dredged-up to its envelope, the AGB evolution is terminated by the onset of
common-envelope evolution. Based on the high radial-velocity of HE 1305-0007,
we speculate that the star could be a runaway star from a binary system, in
which the AIC event has occurred and produced the r-process elements.
","Wen-Yuan Cui (1,2,3), D. N. Cui (1), Y. S. Du (1), B. Zhang (1)((1)
  Department of Physics, Hebei Normal University, China, (2) National
  Astronomical observatories, Chinese Academy of Sciences, China, (3) Graduate
  School of the Chinese Academy of Sciences, China)",astro-ph
Membrane in M5-branes Background,"  In this paper, we investigate the properties of a membrane in the M5-brane
background. Through solving the classical equations of motion of the membrane,
we can understand the classical dynamics of the membrane in this background.
",Wei-shui Xu and Ding-fang Zeng,hep-th
3D photospheric velocity field of a Supergranular cell,"  We investigate the plasma flow properties inside a Supergranular (SG) cell,
in particular its interaction with small scale magnetic field structures. The
SG cell has been identified using the magnetic network (CaII wing brightness)
as proxy, applying the Two-Level Structure Tracking (TST) to high spatial,
spectral and temporal resolution observations obtained by IBIS. The full 3D
velocity vector field for the SG has been reconstructed at two different
photospheric heights. In order to strengthen our findings, we also computed the
mean radial flow of the SG by means of cork tracing. We also studied the
behaviour of the horizontal and Line of Sight plasma flow cospatial with
cluster of bright CaII structures of magnetic origin to better understand the
interaction between photospheric convection and small scale magnetic features.
The SG cell we investigated seems to be organized with an almost radial flow
from its centre to the border. The large scale divergence structure is probably
created by a compact region of constant up-flow close to the cell centre. On
the edge of the SG, isolated regions of strong convergent flow are nearby or
cospatial with extended clusters of bright CaII wing features forming the knots
of the magnetic network.
","Dario Del Moro, Silvia Giordano, Francesco Berrilli",astro-ph
Substructures in WINGS clusters,"  We search for and characterize substructures in the projected distribution of
galaxies observed in the wide field CCD images of the 77 nearby clusters of the
WIde-field Nearby Galaxy-cluster Survey (WINGS). This sample is complete in
X-ray flux in the redshift range 0.04<z<0.07. We search for substructures in
WINGS clusters with DEDICA, an adaptive-kernel procedure. We test the procedure
on Monte-Carlo simulations of the observed frames and determine the reliability
for the detected structures. DEDICA identifies at least one reliable structure
in the field of 55 clusters. 40 of these clusters have a total of 69
substructures at the same redshift of the cluster (redshift estimates of
substructures are from color-magnitude diagrams). The fraction of clusters with
subclusters (73%) is higher than in most studies. The presence of subclusters
affects the relative luminosities of the brightest cluster galaxies (BCGs).
Down to L ~ 10^11.2 L_Sun, our observed differential distribution of subcluster
luminosities is consistent with the theoretical prediction of the differential
mass function of substructures in cosmological simulations.
","M. Ramella, A. Biviano, A. Pisani, J. Varela, D. Bettoni, W.J. Couch,
  M. D'Onofrio, A. Dressler, G. Fasano, P. Kjaergaard, M. Moles, E. Pignatelli,
  B.M. Poggianti",astro-ph
"Ising-like dynamics and frozen states in systems of ultrafine magnetic
  particles","  We use Monte-Carlo simulations to study aging phenomena and the occurence of
spinglass phases in systems of single-domain ferromagnetic nanoparticles under
the combined influence of dipolar interaction and anisotropy energy, for
different combinations of positional and orientational disorder. We find that
the magnetic moments oriente themselves preferably parallel to their anisotropy
axes and changes of the total magnetization are solely achieved by 180 degree
flips of the magnetic moments, as in Ising systems. Since the dipolar
interaction favorizes the formation of antiparallel chain-like structures,
antiparallel chain-like patterns are frozen in at low temperatures, leading to
aging phenomena characteristic for spin-glasses. Contrary to the intuition,
these aging effects are more pronounced in ordered than in disordered
structures.
","Stefanie Russ, Armin Bunde",cond-mat.dis-nn cond-mat.stat-mech
Counting characters in linear group actions,"  Let $G$ be a finite group and $V$ be a finite $G$--module. We present upper
bounds for the cardinalities of certain subsets of $\Irr(GV)$, such as the set
of those $\chi\in\Irr(GV)$ such that, for a fixed $v\in V$, the restriction of
$\chi$ to $<v>$ is not a multiple of the regular character of $<v>$. These
results might be useful in attacking the non--coprime $k(GV)$--problem.
",Thomas Michael Keller,math.RT math.GR
"Continuous interfaces with disorder: Even strong pinning is too weak in
  2 dimensions","  We consider statistical mechanics models of continuous height effective
interfaces in the presence of a delta-pinning at height zero. There is a
detailed mathematical understanding of the depinning transition in 2 dimensions
without disorder. Then the variance of the interface height w.r.t. the Gibbs
measure stays bounded uniformly in the volume for any positive pinning force
and diverges like the logarithm of the pinning force when it tends to zero.
  How does the presence of a quenched disorder term in the Hamiltonian modify
this transition? We show that an arbitarily weak random field term is enough to
beat an arbitrarily strong delta-pinning in 2 dimensions and will cause
delocalization. The proof is based on a rigorous lower bound for the overlap
between local magnetizations and random fields in finite volume. In 2
dimensions it implies growth faster than the volume which is a contradiction to
localization. We also derive a simple complementary inequality which shows that
in higher dimensions the fraction of pinned sites converges to one when the
pinning force tends to infinity.
","C. Kuelske, E. Orlandi",math.PR math-ph math.MP
On the KK-theory of strongly self-absorbing C*-algebras,"  Let $\Dh$ and $A$ be unital and separable $C^{*}$-algebras; let $\Dh$ be
strongly self-absorbing. It is known that any two unital $^*$-homomorphisms
from $\Dh$ to $A \otimes \Dh$ are approximately unitarily equivalent. We show
that, if $\Dh$ is also $K_{1}$-injective, they are even asymptotically
unitarily equivalent. This in particular implies that any unital endomorphism
of $\Dh$ is asymptotically inner. Moreover, the space of automorphisms of $\Dh$
is compactly-contractible (in the point-norm topology) in the sense that for
any compact Hausdorff space $X$, the set of homotopy classes $[X,\Aut(\Dh)]$
reduces to a point. The respective statement holds for the space of unital
endomorphisms of $\Dh$. As an application, we give a description of the
Kasparov group $KK(\Dh, A\ot \Dh)$ in terms of $^*$-homomorphisms and
asymptotic unitary equivalence. Along the way, we show that the Kasparov group
$KK(\Dh, A\ot \Dh)$ is isomorphic to $K_0(A\ot \Dh)$.
","Marius Dadarlat, Wilhelm Winter",math.OA math.KT
Effective interactions from q-deformed inspired transformations,"  From the mass term for the transformed quark fields, we obtain effective
contact interactions of the NJL type. The parameters of the model that maps a
system of non-interacting transformed fields into quarks interacting via NJL
contact terms are discussed.
",V.S. Timoteo and C.L. Lima,nucl-th
Magnetospectroscopy of epitaxial few-layer graphene,"  The inter-Landau level transitions observed in far-infrared transmission
experiments on few-layer graphene samples show a behaviour characteristic of
the linear dispersion expected in graphene. This behaviour persists in
relatively thick samples, and is qualitatively different from that of thin
samples of bulk graphite.
","M.L. Sadowski, G. Martinez, M. Potemski, C. Berger, W.A. de Heer",cond-mat.mtrl-sci cond-mat.mes-hall
Dust Formation and Survival in Supernova Ejecta,"  The presence of dust at high redshift requires efficient condensation of
grains in SN ejecta, in accordance with current theoretical models. Yet,
observations of the few well studied SNe and SN remnants imply condensation
efficiencies which are about two orders of magnitude smaller. Motivated by this
tension, we have (i) revisited the model of Todini & Ferrara (2001) for dust
formation in the ejecta of core collapse SNe and (ii) followed, for the first
time, the evolution of newly condensed grains from the time of formation to
their survival - through the passage of the reverse shock - in the SN remnant.
We find that 0.1 - 0.6 M_sun of dust form in the ejecta of 12 - 40 M_sun
stellar progenitors. Depending on the density of the surrounding ISM, between
2-20% of the initial dust mass survives the passage of the reverse shock, on
time-scales of about 4-8 x 10^4 yr from the stellar explosion. Sputtering by
the hot gas induces a shift of the dust size distribution towards smaller
grains. The resulting dust extinction curve shows a good agreement with that
derived by observations of a reddened QSO at z =6.2. Stochastic heating of
small grains leads to a wide distribution of dust temperatures. This supports
the idea that large amounts (~ 0.1 M_sun) of cold dust (T ~ 40K) can be present
in SN remnants, without being in conflict with the observed IR emission.
","S. Bianchi, and R. Schneider",astro-ph
"Preferential interaction coefficient for nucleic acids and other
  cylindrical poly-ions","  The thermodynamics of nucleic acid processes is heavily affected by the
electric double-layer of micro-ions around the polyions. We focus here on the
Coulombic contribution to the salt-polyelectrolyte preferential interaction
(Donnan) coefficient and we report extremely accurate analytical expressions
valid in the range of low salt concentration (when polyion radius is smaller
than the Debye length). The analysis is performed at Poisson-Boltzmann level,
in cylindrical geometry, with emphasis on highly charged poly-ions (beyond
``counter-ion condensation''). The results hold for any electrolyte of the form
$z_-$:$z_+$. We also obtain a remarkably accurate expression for the electric
potential in the vicinity of the poly-ion.
",E. Trizac and G. Tellez,cond-mat.soft cond-mat.stat-mech
A new approach to mutual information,"  A new expression as a certain asymptotic limit via ""discrete micro-states"" of
permutations is provided to the mutual information of both continuous and
discrete random variables.
",F. Hiai and D. Petz,math.PR math.ST stat.TH
"Analysis of the real estate market in Las Vegas: Bubble, seasonal
  patterns, and prediction of the CSW indexes","  We analyze 27 house price indexes of Las Vegas from Jun. 1983 to Mar. 2005,
corresponding to 27 different zip codes. These analyses confirm the existence
of a real-estate bubble, defined as a price acceleration faster than
exponential, which is found however to be confined to a rather limited time
interval in the recent past from approximately 2003 to mid-2004 and has
progressively transformed into a more normal growth rate comparable to
pre-bubble levels in 2005. There has been no bubble till 2002 except for a
medium-sized surge in 1990. In addition, we have identified a strong yearly
periodicity which provides a good potential for fine-tuned prediction from
month to month. A monthly monitoring using a model that we have developed could
confirm, by testing the intra-year structure, if indeed the market has returned
to ``normal'' or if more turbulence is expected ahead. We predict the evolution
of the indexes one year ahead, which is validated with new data up to Sep.
2006. The present analysis demonstrates the existence of very significant
variations at the local scale, in the sense that the bubble in Las Vegas seems
to have preceded the more global USA bubble and has ended approximately two
years earlier (mid 2004 for Las Vegas compared with mid-2006 for the whole of
the USA).
","Wei-Xing Zhou (ECUST), Didier Sornette (ETH Zurich)",q-fin.GN physics.soc-ph q-fin.ST
"A Low Complexity Algorithm and Architecture for Systematic Encoding of
  Hermitian Codes","  We present an algorithm for systematic encoding of Hermitian codes. For a
Hermitian code defined over GF(q^2), the proposed algorithm achieves a run time
complexity of O(q^2) and is suitable for VLSI implementation. The encoder
architecture uses as main blocks q varying-rate Reed-Solomon encoders and
achieves a space complexity of O(q^2) in terms of finite field multipliers and
memory elements.
","Rachit Agarwal, Ralf Koetter and Emanuel Popovici",cs.IT math.IT
"Quantum criticality and disorder in the antiferromagnetic critical point
  of NiS$_{2}$ pyrite","  A quantum critical point (QCP) between the antiferromagnetic and the
paramagnetic phases was realized by applying a hydrostatic pressure of ~ 7 GPa
on single crystals of NiS_{2} pyrite with a low residual resistivity, rho_{0},
of 0.5 mu-Omega-cm. We found that the critical behavior of the resistivity,
rho, in this clean system contrasts sharply with those observed in its
disordered analogue, NiS_{2-x}Se_{x} solid-solution, demonstrating the
unexpectedly drastic effect of disorder on the quantum criticality. Over a
whole paramagnetic region investigated up to P = 9 GPa, a crossover
temperature, defined as the onset of T^{2} dependence of rho, an indication of
Fermi liquid, was suppressed to a substantially low temperature T sim 2 K and,
instead, a non Fermi liquid behavior of rho, T^{3/2}-dependence, robustly
showed up.
","N. Takeshita, S. Takashima, C. Terakura, H. Nishikubo, S. Miyasaka, M.
  Nohara, Y. Tokura, and H. Takagi",cond-mat.str-el
Spin coherence of holes in GaAs/AlGaAs quantum wells,"  The carrier spin coherence in a p-doped GaAs/(Al,Ga)As quantum well with a
diluted hole gas has been studied by picosecond pump-probe Kerr rotation with
an in-plane magnetic field. For resonant optical excitation of the positively
charged exciton the spin precession shows two types of oscillations. Fast
oscillating electron spin beats decay with the radiative lifetime of the
charged exciton of 50 ps. Long lived spin coherence of the holes with dephasing
times up to 650 ps. The spin dephasing time as well as the in-plane hole g
factor show strong temperature dependence, underlining the importance of hole
localization at cryogenic temperatures.
","M. Syperek, D. R. Yakovlev, A. Greilich, J. Misiewicz, M. Bayer, D.
  Reuter, and A. D. Wieck",cond-mat.other
"Local-field effects in radiatively broadened magneto-dielectric media:
  negative refraction and absorption reduction","  We give a microscopic derivation of the Clausius-Mossotti relations for a
homogeneous and isotropic magneto-dielectric medium consisting of radiatively
broadened atomic oscillators. To this end the diagram series of electromagnetic
propagators is calculated exactly for an infinite bi-cubic lattice of
dielectric and magnetic dipoles for a lattice constant small compared to the
resonance wavelength $\lambda$. Modifications of transition frequencies and
linewidth of the elementary oscillators are taken into account in a
selfconsistent way by a proper incorporation of the singular self-interaction
terms. We show that in radiatively broadened media sufficiently close to the
free-space resonance the real part of the index of refraction approaches the
value -2 in the limit of $\rho \lambda^3 \gg 1$, where $\rho$ is the number
density of scatterers. Since at the same time the imaginary part vanishes as
$1/\rho$ local field effects can have important consequences for realizing
low-loss negative index materials.
","J\""urgen K\""astel, Michael Fleischhauer, Gediminas Juzeli\=unas",cond-mat.other physics.optics quant-ph
Search for a fourth generation b'-quark at LEP-II at sqrt{s}=196-209 GeV,"  A search for the pair production of fourth generation b'-quarks was performed
using data taken by the DELPHI detector at LEP-II. The analysed data were
collected at centre-of-mass energies ranging from 196 to 209 GeV, corresponding
to an integrated luminosity of 420 pb^{-1}. No evidence for a signal was found.
Upper limits on BR(b' -> bZ) and BR(b' -> cW) were obtained for b' masses
ranging from 96 to 103 GeV/c^2. These limits, together with the theoretical
branching ratios predicted by a sequential four generations model, were used to
constrain the value of R_{CKM}=|V_{cb'}/V_{tb'}V_{tb}|, where V_{cb'}, V_{tb'}
and V_{tb} are elements of the extended CKM matrix.
","The DELPHI Collaboration, J. Abdallah, et al",hep-ex
"About curvature, conformal metrics and warped products","  We consider the curvature of a family of warped products of two
pseduo-Riemannian manifolds $(B,g_B)$ and $(F,g_F)$ furnished with metrics of
the form $c^{2}g_B \oplus w^2 g_F$ and, in particular, of the type $w^{2
\mu}g_B \oplus w^2 g_F$, where $c, w \colon B \to (0,\infty)$ are smooth
functions and $\mu$ is a real parameter. We obtain suitable expressions for the
Ricci tensor and scalar curvature of such products that allow us to establish
results about the existence of Einstein or constant scalar curvature structures
in these categories. If $(B,g_B)$ is Riemannian, the latter question involves
nonlinear elliptic partial differential equations with concave-convex
nonlinearities and singular partial differential equations of the
Lichnerowicz-York type among others.
","Fernando Dobarro, Bulent Unal",math.DG gr-qc hep-th math-ph math.AP math.MP
The local structure of conformally symmetric manifolds,"  This is a final step in a local classification of pseudo-Riemannian manifolds
with parallel Weyl tensor that are not conformally flat or locally symmetric.
","Andrzej Derdzinski (Ohio State University), Witold Roter (Wroclaw
  University of Technology)",math.DG
"Investigation of Colour Reconnection in WW Events with the DELPHI
  detector at LEP-2","  In the reaction e+e- -> WW -> (q_1 qbar_2)(q_3 qbar_4) the usual
hadronization models treat the colour singlets q_1 qbar_2 and q_3 qbar_4 coming
from two W bosons independently. However, since the final state partons may
coexist in space and time, cross-talk between the two evolving hadronic systems
may be possible during fragmentation through soft gluon exchange. This effect
is known as Colour Reconnection. In this article the results of the
investigation of Colour Reconnection effects in fully hadronic decays of W
pairs in DELPHI at LEP are presented. Two complementary analyses were
performed, studying the particle flow between jets and W mass estimators, with
negligible correlation between them, and the results were combined and compared
to models. In the framework of the SK-I model, the value for its kappa
parameter most compatible with the data was found to be: kappa_{SK-I} =
2.2^{+2.5}_{-1.3} corresponding to the probability of reconnection P_{reco} to
be in the range 0.31 < P_{reco} < 0.68 at 68% confidence level with its best
value at 0.52.
","The DELPHI Collaboration, J. Abdallah, et al",hep-ex
"Evolutionary Neural Gas (ENG): A Model of Self Organizing Network from
  Input Categorization","  Despite their claimed biological plausibility, most self organizing networks
have strict topological constraints and consequently they cannot take into
account a wide range of external stimuli. Furthermore their evolution is
conditioned by deterministic laws which often are not correlated with the
structural parameters and the global status of the network, as it should happen
in a real biological system. In nature the environmental inputs are noise
affected and fuzzy. Which thing sets the problem to investigate the possibility
of emergent behaviour in a not strictly constrained net and subjected to
different inputs. It is here presented a new model of Evolutionary Neural Gas
(ENG) with any topological constraints, trained by probabilistic laws depending
on the local distortion errors and the network dimension. The network is
considered as a population of nodes that coexist in an ecosystem sharing local
and global resources. Those particular features allow the network to quickly
adapt to the environment, according to its dimensions. The ENG model analysis
shows that the net evolves as a scale-free graph, and justifies in a deeply
physical sense- the term gas here used.
","Ignazio Licata, Luigi Lella",physics.gen-ph q-bio.PE
X-ray Dichroism and the Pseudogap Phase of Cuprates,"  A recent polarized x-ray absorption experiment on the high temperature
cuprate superconductor Bi2Sr2CaCu2O8 indicates the presence of broken parity
symmetry below the temperature, T*, where a pseudogap appears in photoemission.
We critically analyze the x-ray data, and conclude that a parity-breaking
signal of the kind suggested is unlikely based on the crystal structures
reported in the literature. Possible other origins of the observed dichroism
signal are discussed. We propose x-ray scattering experiments that can be done
in order to determine whether such alternative interpretations are valid or
not.
",S. Di Matteo and M. R. Norman,cond-mat.supr-con cond-mat.str-el
Solvability of linear equations within weak mixing sets,"  We introduce a new class of ""random"" subsets of natural numbers, WM sets.
This class contains normal sets (sets whose characteristic function is a normal
binary sequence). We establish necessary and sufficient conditions for
solvability of systems of linear equations within every WM set and within every
normal set. We also show that partition-regular system of linear equations with
integer coefficients is solvable in any WM set.
",Alexander Fish,math.CO math.DS
"D-\bar D mixing and rare D decays in the Littlest Higgs model with
  non-unitarity matrix","  We study the $D-\bar D$ mixing and rare D decays in the Littlest Higgs model.
As the new weak singlet quark with the electric charge of 2/3 is introduced to
cancel the quadratic divergence induced by the top-quark, the standard unitary
$3\times 3$ Cabibbo-Kobayashi-Maskawa matrix is extended to a non-unitary
$4\times 3$ matrix in the quark charged currents and Z-mediated flavor changing
neutral currents are generated at tree level. In this model, we show that the
$D-\bar D$ mixing parameter can be as large as the current experimental value
and the decay branching ratio (BR) of $D\to X_u \ga$ is small but its direct CP
asymmetry could be $O(10%)$. In addition, we find that the BRs of $D\to X_u
\ell^{+} \ell^{-}$, $D\to X_u\nu \bar \nu$ and $D\to \mu^{+} \mu^{-}$ could be
enhanced to be $O(10^{-9})$, $O(10^{-8})$ and $O(10^{-9})$, respectively.
","Chuan-Hung Chen, Chao-Qiang Geng, Tzu-Chiang Yuan",hep-ph hep-ex
Alternative Large Nc Schemes and Chiral Dynamics,"  We compare the dependences on the number of colors of the leading pion pion
scattering amplitudes using the single index quark field and two index quark
fields. These are seen to have different relationships to the scattering
amplitudes suggested by chiral dynamics which can explain the long puzzling
pion pion s wave scattering up to about 1 GeV. This may be interesting for
getting a better understanding of the large Nc approach as well as for
application to recently proposed technicolor models.
","Francesco Sannino (CERN and University of Southern Denmark), Joseph
  Schechter (Syracuse University)",hep-ph hep-lat hep-th nucl-th
"The height dependence of temperature - velocity correlation in the solar
  photosphere","  We derive correlation coefficients between temperature and line-of-sight
velocity as a function of optical depth throughout the solar photosphere for
the non-magnetic photosphere and a small area of enhanced magnetic activity.
The maximum anticorrelation of about -0.6 between temperature and line-of-sight
velocity in the non-magnetic photosphere occurs at log tau5 = -0.4. The
magnetic field is another decorrelating factor along with 5-min oscillations
and seeing.
","J. Koza, A. Kucera, J. Ryb\'ak, H. W\""ohl",astro-ph
"Magnetism in the high-Tc analogue Cs2AgF4 studied with muon-spin
  relaxation","  We present the results of a muon-spin relaxation study of the high-Tc
analogue material Cs2AgF4. We find unambiguous evidence for magnetic order,
intrinsic to the material, below T_C=13.95(3) K. The ratio of inter- to
intraplane coupling is estimated to be |J'/J|=1.9 x 10^-2, while fits of the
temperature dependence of the order parameter reveal a critical exponent
beta=0.292(3), implying an intermediate character between pure two- and three-
dimensional magnetism in the critical regime. Above T_C we observe a signal
characteristic of dipolar interactions due to linear F-mu-F bonds, allowing the
muon stopping sites in this compound to be characterized.
","T. Lancaster, S.J. Blundell, P.J. Baker, W. Hayes, S.R. Giblin, S.E.
  McLain, F.L. Pratt, Z. Salman, E.A. Jacobs, J.F.C. Turner and T. Barnes",cond-mat.str-el
"Reconciling the X(3872) with the near-threshold enhancement in the
  D^0\bar{D}^{*0} final state","  We investigate the enhancement in the D^0\bar{D}^0\pi^0 final state with the
mass M=3875.2\pm 0.7^{+0.3}_{-1.6}\pm 0.8 MeV found recently by the Belle
Collaboration in the B\to K D^0\bar{D}^0\pi^0 decay and test the possibility
that this is yet another manifestation of the well-established resonance
X(3872). We perform a combined Flatte analysis of the data for the
D^0\bar{D}^0\pi^0 mode, and for the \pi^+\pi^- J/\psi mode of the X(3872). Only
if the X(3872) is a virtual state in the D^0\bar{D}^{*0} channel, the data on
the new enhancement comply with those on the X(3872). In our fits, the mass
distribution in the D^0\bar{D}^{*0} mode exhibits a peak at 2-3 MeV above the
D^0\bar{D}^{*0} threshold, with a distinctive non-Breit-Wigner shape.
","C.Hanhart (FZ-Juelich), Yu.S.Kalashnikova, A.E.Kudryavtsev,
  A.V.Nefediev (ITEP, Moscow)",hep-ph hep-ex
"Three-dimensional effects in ""atom diodes"": atom-optical devices for
  one-way motion","  The ``atom diode'' is a laser device that lets the ground state atom pass in
one direction but not in the opposite direction. We examine three-dimensional
effects of that device for arbitrary atomic incidence angles on flat laser
sheets and set breakdown limiting angles and velocities. It is found that a
correct diodic behavior independent of the incident angle can be obtained with
blue detuned lasers.
",A. Ruschhaupt and J. G. Muga,quant-ph
"Plasmon Amplification through Stimulated Emission at Terahertz
  Frequencies in Graphene","  We show that plasmons in two-dimensional graphene can have net gain at
terahertz frequencies. The coupling of the plasmons to interband electron-hole
transitions in population inverted graphene layers can lead to plasmon
amplification through the process of stimulated emission. We calculate plasmon
gain for different electron-hole densities and temperatures and show that the
gain values can exceed $10^{4}$ cm$^{-1}$ in the 1-10 terahertz frequency
range, for electron-hole densities in the $10^{9}$-$10^{11}$ cm$^{-2}$ range,
even when plasmon energy loss due to intraband scattering is considered.
Plasmons are found to exhibit net gain for intraband scattering times shorter
than 100 fs. Such high gain values could allow extremely compact terahertz
amplifiers and oscillators that have dimensions in the 1-10 $\mu$m range.
","Farhan Rana, Faisal R. Ahmad",cond-mat.mes-hall cond-mat.mtrl-sci
On the homology of two-dimensional elimination,"  We study birational maps with empty base locus defined by almost complete
intersection ideals. Birationality is shown to be expressed by the equality of
two Chern numbers. We provide a relatively effective method of their
calculation in terms of certain Hilbert coefficients. In dimension two the
structure of the irreducible ideals leads naturally to the calculation of
Sylvester determinants via a computer-assisted method. For degree at most 5 we
produce the full set of defining equations of the base ideal. The results
answer affirmatively some questions raised by D. Cox.
","J. Hong, A. Simis, W. V. Vasconcelos",math.AC math.AG
"The effectiveness of quantum operations for eavesdropping on sealed
  messages","  A quantum protocol is described which enables a user to send sealed messages
and that allows for the detection of active eavesdroppers. We examine a class
of eavesdropping strategies, those that make use of quantum operations, and we
determine the information gain versus disturbance caused by these strategies.
We demonstrate this tradeoff with an example and we compare this protocol to
quantum key distribution, quantum direct communication, and quantum seal
protocols.
","Paul A Lopata, Thomas B Bahder",quant-ph
Shocks in nonlocal media,"  We investigate the formation of collisionless shocks along the spatial
profile of a gaussian laser beam propagating in nonlocal nonlinear media. For
defocusing nonlinearity the shock survives the smoothing effect of the nonlocal
response, though its dynamics is qualitatively affected by the latter, whereas
for focusing nonlinearity it dominates over filamentation. The patterns
observed in a thermal defocusing medium are interpreted in the framework of our
theory.
","Neda Ghofraniha, Claudio Conti, Giancarlo Ruocco, Stefano Trillo",physics.optics cond-mat.soft nlin.PS physics.flu-dyn
Modeling the field of laser welding melt pool by RBFNN,"  Efficient control of a laser welding process requires the reliable prediction
of process behavior. A statistical method of field modeling, based on
normalized RBFNN, can be successfully used to predict the spatiotemporal
dynamics of surface optical activity in the laser welding process. In this
article we demonstrate how to optimize RBFNN to maximize prediction quality.
Special attention is paid to the structure of sample vectors, which represent
the bridge between the field distributions in the past and future.
","A. Borstnik Bracic, E. Govekar and I. Grabec",physics.comp-ph physics.data-an
"Solving The High Energy Evolution Equation Including Running Coupling
  Corrections","  We study the solution of the nonlinear BK evolution equation with the
recently calculated running coupling corrections [hep-ph/0609105,
hep-ph/0609090]. Performing a numerical solution we confirm the earlier result
of [hep-ph/0408216] that the high energy evolution with the running coupling
leads to a universal scaling behavior for the dipole scattering amplitude. The
running coupling corrections calculated recently significantly change the shape
of the scaling function as compared to the fixed coupling case leading to a
considerable increase in the anomalous dimension and to a slow-down of the
evolution with rapidity. The difference between the two recent calculations is
due to an extra contribution to the evolution kernel, referred to as the
subtraction term, which arises when running coupling corrections are included.
These subtraction terms were neglected in both recent calculations. We evaluate
numerically the subtraction terms for both calculations, and demonstrate that
when the subtraction terms are added back to the evolution kernels obtained in
the two works the resulting dipole amplitudes agree with each other! We then
use the complete running coupling kernel including the subtraction term to find
the numerical solution of the resulting full non-linear evolution equation with
the running coupling corrections. Again the scaling regime is recovered at very
large rapidity.
",Javier L. Albacete and Yuri V. Kovchegov,hep-ph nucl-th
Anomalous c-axis transport in layered metals,"  Transport in metals with strongly anisotropic single-particle spectrum is
studied. Coherent band transport in all directions, described by the standard
Boltzmann equation, is shown to withstand both elastic and inelastic scattering
as long as $E_F\tau\gg 1$. A model of phonon-assisted tunneling via resonant
states located in between the layers is suggested to explain a non-monotonic
temperature dependence of the c-axis resistivity observed in experiments.
",D. B. Gutman and D. L. Maslov,cond-mat.str-el cond-mat.dis-nn
